omim,title,prevalence,onset_age,disease_def,synonym
102150,Orphanet: Acromegaloid facial appearance syndrome,&lt;1 / 1 000 000,Neonatal,"A rare multiple congenital anomalies/dysmorphic syndrome with a probable autosomal dominant inheritance, characterized by a progressively coarse acromegaloid-like facial appearance with thickening of the lips and intraoral mucosa, large and doughy hands and, in some cases, developmental delay. AFA syndrome appears to be part of a phenotypic spectrum that includes hypertrichotic osteochondrodysplasia, Cantu type and hypertrichosis-acromegaloid facial appearance syndrome.",
102370,Orphanet: Acromicric dysplasia,&lt;1 / 1 000 000,Neonatal,"A rare bone dysplasia characterized by short stature, short hands and feet, mild facial dysmorphism, and characteristic X-ray abnormalities of the hands.",
102500,Orphanet: Hajdu Cheney syndrome,&lt;1 / 1 000 000,"Infancy,Childhood","A rare autosomal dominant skeletal disorder, characterized by progressive bone resorption in the distal phalanges (acro-osteolysis), progressive osteoporosis, distinct craniofacial changes, dental anomalies, and occasional association with renal abnormalities.","Acroosteolysis dominant type,Acroosteolysis with osteoporosis and changes in skull and mandible,Arthrodentoosteodysplasia,Cheney syndrome"
613958,Orphanet: Male infertility due to globozoospermia,-,Adult,"Male infertility due to globozoospermia is a male infertility due to sperm disorder characterized by the presence, in sperm, of a large majority of round-headed spermatozoa that lack the acrosome and have an aberrant nuclear membrane and midpiece defects. The acrosomeless spermatozoa is not able to penetrate the zona pellucida and thus fertilization failures, even with intracytoplasmic sperm injection, are frequent.","Male infertility due to round-headed spermatozoa,Round-headed sperm syndrome"
102700,Orphanet: Severe combined immunodeficiency due to adenosine deaminase deficiency,1-9 / 1 000 000,"Infancy,Neonatal",Severe combined immunodeficiency (SCID) due to adenosine deaminase (ADA) deficiency is a form of SCID characterized by profound lymphopenia and very low immunoglobulin levels of all isotypes resulting in severe and recurrent opportunistic infections.,"ADA deficiency,SCID due to adenosine deaminase deficiency"
103100,Orphanet: Holmes Adie syndrome,Unknown,Adult,"A rare ophthalmic disorder characterized by the unilateral or bilateral occurrence of a tonic pupil (showing sectorial denervation of the sphincter pupillae, so that the pupil constricts poorly to light, while the response to near is present but abnormally prolonged), in association with the absence of deep tendon reflexes. In some patients, patchy hypo- or anhidrosis may also be present (a variant known as Ross syndrome). The condition typically occurs in young adults, with a female preponderance.","Adie syndrome,Tonic pupil-tendon areflexia syndrome"
103050,Orphanet: Adenylosuccinate lyase deficiency,&lt;1 / 1 000 000,"Childhood,Neonatal,Infancy","A disorder of purine metabolism characterized by intellectual disability, psychomotor delay and/or regression, seizures, and autistic features.","ADSL deficiency,Adenylosuccinase deficiency"
103285,Orphanet: ADULT syndrome,&lt;1 / 1 000 000,"Neonatal,Antenatal","A rare ectodermal dysplasia syndrome characterized by ectrodactyly, syndactyly, mammary hypoplasia, and excessive freckling as well as other typical ectodermal defects such as hypodontia, lacrimal duct anomalies, hypotrichosis, and onychodysplasia.","Acro-dermato-ungual-lacrimal-tooth syndrome,Pigment anomaly-ectrodactyly-hypodontia syndrome"
103200,Orphanet: Adiposis dolorosa,Unknown,Adult,"A rare disorder of subcutaneous tissue characterized by the development of painful, adipose tissue with multiple subcutaneous lipomas, in association with overweight or obesity.","Adiposalgia,Adipose tissue rheumatism,Dercum disease,Lipomatosis dolorosa"
103500,Orphanet: Tietz syndrome,&lt;1 / 1 000 000,Neonatal,"Tietz syndrome is a genetic hypopigmentation and deafness syndrome characterized by congenital profound bilateral sensorineural hearing loss and generalized albino-like hypopigmentation of skin, eyes and hair.","Hypopigmentation-deafness syndrome,Hypopigmentation-hearing loss syndrome"
601549,Orphanet: Isolated congenital alacrima,Unknown,"Infancy,Neonatal",Congenital alacrima is characterised by deficient lacrimation (ranging from a complete absence of tears to hyposecretion of tears) that is present from birth.,
103300,Orphanet: Hypoglossia hypodactyly syndrome,&lt;1 / 1 000 000,"Neonatal,Antenatal","A rare disease characterized by the association of aglossia (absence of tongue), adactylia (absence of fingers or toes) and limb, craniofacial and other, less frequent malformations.","Aglossia-adactylia syndrome,Hanhart syndrome,Jussieu syndrome"
103900,Orphanet: Familial hyperaldosteronism type I,Unknown,"Childhood,Adolescent,Adult","A rare heritable, glucocorticoid remediable form of primary aldosteronism (PA) characterized by early-onset hypertension, hyperaldosteronism, variable hypokalemia, low plasma renin activity (PRA), and abnormal production of 18-oxocortisol and 18-hydroxycortisol.","Dexamethasone-sensitive hypertension,FH-I,FH1,Familial hyperaldosteronism type 1,GRA,Glucocorticoid-remediable aldosteronism,Glucocorticoid-sensitive hypertension"
103580,Orphanet: Pseudohypoparathyroidism type 1A,Unknown,"Infancy,Neonatal,Childhood","Pseudohypoparathyroidism type 1A (PHP1a) is a type of pseudohypoparathyroidism (PHP; see this term) characterized by renal resistance to parathyroid hormone (PTH), resulting in hypocalcemia, hyperphosphatemia, and elevated PTH; resistance to other hormones including thydroid stimulating hormone (TSH), gonadotropins and growth-hormone-releasing hormone (GHRH); and a constellation of clinical features known as Albright hereditary osteodystrophy (AHO; see this term).","AHO-PHP syndrome Ia,Albright hereditary osteodystrophy-PHP syndrome Ia"
307200,Orphanet: Isolated growth hormone deficiency type III,-,"Infancy,Neonatal",,
612852,Orphanet: Sterile multifocal osteomyelitis with periostitis and pustulosis,&lt;1 / 1 000 000,"Infancy,Neonatal","Sterile multifocal osteomyelitis with periostitis and pustulosis is a rare, severe, genetic autoinflammatory syndrome characterized by usually neonatal onset of generalized neutrophilic cutaneous pustulosis and severe, recurrent, multifocal, aseptic osteomyelitis with marked periostitis, typically affecting distal ribs, long bones and vertebral bodies. High levels of acute-phase reactants (with no fever associated) and onychosis are frequently observed additional features.","Autoinflammatory disease due to interleukin-1 receptor antagonist deficiency,DIRA,Interleukin-1 receptor antagonist deficiency,OMPP"
618463,Orphanet: Apolipoprotein A I deficiency,&lt;1 / 1 000 000,Allages,"A rare lipoprotein metabolism disorder characterized biochemically by complete absence of apolipoprotein AI and extremely low plasma high density lipoprotein (HDL) cholesterol, and clinically by corneal opacities and xanthomas complicated with premature coronary heart disease (CHD).","ApoA-I deficiency,Familial apoA-I deficiency,Familial hypoalphalipoproteinemia"
619355,Orphanet: Isolated cytochrome C oxidase deficiency,-,-,"A rare mitochondrial oxidative phosphorylation disorder characterized by a highly variable clinical phenotype, including a benign infantile mitochondrial type affecting mainly the skeletal muscle, a lethal infantile mitochondrial myopathy linked to severe metabolic acidosis and mitochondrial dysfunction in skeletal muscle and often also in heart, Leigh syndrome, which causes severe, early-onset, progressive, and fatal encephalopathy, and French-Canadian type Leigh syndrome, which affects mostly the skeletal muscle, but also brain and liver.","Isolated COX deficiency,Isolated mitochondrial respiratory chain complex IV deficiency"
619351,Orphanet: Megacystis microcolon intestinal hypoperistalsis syndrome,Unknown,"Infancy,Neonatal","Megacystis microcolon intestinal hypoperistalsis syndrome (MMIHS) is a rare congenital disease characterized by massive abdominal distension caused by a largely dilated non-obstructed urinary bladder (megacystis), microcolon and decreased or absent intestinal peristalsis.","Berdon syndrome,MMIHS,Megacystis-microcolon-intestinal hypoperistalsis-hydronephrosis syndrome"
619350,Orphanet: Familial visceral myopathy,Unknown,Allages,"Familial visceral myopathy is a rare hereditary myopathic degeneration of both gastrointestinal and urinary tracts that causes chronic intestinal pseudo-obstruction. It usually presents after the first decade of life with megaduodenum, megacystis and symptoms such as abdominal distension and/or pain, vomiting, constipation, diarrhea, dysphagia, and/or urinary tract infections.n.","Familial hollow visceral myopathy,Hereditary hollow visceral myopathy,Megaduodenum and/or megacystis"
619340,Orphanet: Early infantile epileptic encephalopathy,Unknown,Neonatal,"A severe form of age-related epileptic encephalopathies characterized by the onset of tonic spasms within the first 3 months of life that can be generalized or lateralized, independent of the sleep cycle, and that can occur hundreds of times per day, leading to psychomotor impairment and death.","EIEE,Early infantile epileptic encephalopathy with suppression-bursts,Ohtahara syndrome"
619339,Orphanet: Bartsocas Papas syndrome,&lt;1 / 1 000 000,"Antenatal,Neonatal","Bartsocas-Papas syndrome is a rare, inherited, popliteal pterygium syndrome (see this term) characterized by severe popliteal webbing, microcephaly, a typical face with short palpebral fissures, ankyloblepharon, hypoplastic nose, filiform bands between the jaws and facial clefts, oligosyndactyly, genital abnormalities, and additional ectodermal anomalies (i.e. absent hair, eyebrows, lashes, nails). It is often fatal in the neonatal period, but patients living until childhood have been reported.","Autosomal recessive popliteal pterygium syndrome,Lethal popliteal pterygium syndrome"
619325,Orphanet: Coffin Siris syndrome,&lt;1 / 1 000 000,Neonatal,"A rare genetic syndromic intellectual disability characterized by aplasia or hypoplasia of the distal phalanx or nail of the fifth digit, developmental delay, coarse facial features, and other variable clinical manifestations.",CSS
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619304,Orphanet: Pontocerebellar hypoplasia type 1,&lt;1 / 1 000 000,Neonatal,"A severe, genetic form of pontocerebellar hypoplasia (PCH) characterized by spinal cord anterior horn cell degeneration in addition to pontocerebellar hypoplasia. Clinically, patients manifest with a severe global development deficit that is evident early on from difficulties in feeding and swallowing","Norman disease,PCH1"
619304,Orphanet: Pontocerebellar hypoplasia type 1,&lt;1 / 1 000 000,Neonatal,"A severe, genetic form of pontocerebellar hypoplasia (PCH) characterized by spinal cord anterior horn cell degeneration in addition to pontocerebellar hypoplasia. Clinically, patients manifest with a severe global development deficit that is evident early on from difficulties in feeding and swallowing","Norman disease,PCH1"
619290,Orphanet: GCGR related hyperglucagonemia,&lt;1 / 1 000 000,Adult,A rare tumor of pancreas caused by mutations in the ,Mahvash disease
619278,Orphanet: Primary microcephaly epilepsy permanent neonatal diabetes syndrome,&lt;1 / 1 000 000,Neonatal,"Primary microcephaly-epilepsy-permanent neonatal diabetes syndrome is a rare, genetic, neurologic disease characterized by congenital microcephaly, severe, early-onset epileptic encephalopathy (manifesting as intractable, myoclonic and/or tonic-clonic seizures), permanent, neonatal, insulin-dependent diabetes mellitus, and severe global developmental delay. Muscular hypotonia, skeletal abnormalities, feeding difficulties, and dysmorphic facial features (including narrow forehead, anteverted nares, small mouth with deep philtrum, tented upper lip vermilion) are frequently associated. Brain MRI reveals cerebral atrophy with cortical gyral simplification and aplasia/hypoplasia of the corpus callosum.",
619274,Orphanet: Autosomal dominant non syndromic sensorineural deafness type DFNA,Unknown,Childhood,,
619272,Orphanet: Isolated complex I deficiency,Unknown,Allages,"Isolated complex I deficiency is a rare inborn error of metabolism due to mutations in nuclear or mitochondrial genes encoding subunits or assembly factors of the human mitochondrial complex I (NADH: ubiquinone oxidoreductase) and is characterized by a wide range of manifestations including marked and often fatal lactic acidosis, cardiomyopathy, leukoencephalopathy, pure myopathy and hepatopathy with tubulopathy. Among the numerous clinical phenotypes observed are Leigh syndrome, Leber hereditary optic neuropathy and MELAS syndrome (see these terms).","Isolated NADH-CoQ reductase deficiency,Isolated NADH-coenzyme Q reductase deficiency,Isolated NADH-ubiquinone reductase deficiency,Isolated mitochondrial respiratory chain complex I deficiency"
619271,Orphanet: Autosomal dominant macrothrombocytopenia,&lt;1 / 1 000 000,-,This syndrome is characterized by congenital thrombocytopenia associated with the presence of large platelets.,
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619267,Orphanet: Glanzmann thrombasthenia,Unknown,"Infancy,Neonatal",Glanzmann thrombasthenia (GT) is a bleeding syndrome characterized by spontaneous mucocutaneous bleeding and an exaggerated response to trauma due to a constitutional thrombocytopenia.,
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619263,Orphanet: Idiopathic steroid resistant nephrotic syndrome,Unknown,Allages,,
619258,Orphanet: Male infertility with teratozoospermia due to single gene mutation,-,-,"Male infertility with teratozoospermia due to single gene mutation is a rare, genetic male infertility due to sperm disorder characterized by the presence of spermatozoa with abnormal morphology, such as macrozoospermia or globozoospermia, in over 85% of sperm, resulting from mutation in a single gene known to cause teratozoospermia. It is a heterogeneous group that includes a wide range of abnormal sperm phenotypes affecting, solely or simultaneously, head, neck, midpiece, and/or tail.",
619256,Orphanet: Familial hypercholanemia,&lt;1 / 1 000 000,"Infancy,Neonatal","Familial hypercholanemia is a very rare genetic disorder characterized clinically by elevated serum bile acid concentrations, itching, and fat malabsorption reported in patients of Old Order Amish descent.",Hereditary hypercholanemia
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
619224,Orphanet: Isolated succinate CoQ reductase deficiency,&lt;1 / 1 000 000,"Neonatal,Infancy","A rare, mitochondrial oxidative phosphorylation disorder characterized by a highly variable phenotype. The severe, multisystemic disease involves brain, heart, muscles, liver, kidneys, and eyes and results in death in infancy. Mildly affected individuals have only isolated cardiac or muscle involvement in the adulthood. Histochemical and biochemical analysis reveals a global reduction of succinate dehydrogenase activity.","Isolated mitochondrial respiratory chain complex II deficiency,Isolated succinate  dehydrogenase deficiency,Isolated succinate-coenzyme Q reductase deficiency,Isolated succinate-ubiquinone reductase deficiency"
619220,Orphanet: Autoimmune hemolytic anemia autoimmune thrombocytopenia primary immunodeficiency syndrome,&lt;1 / 1 000 000,"Infancy,Childhood","A rare genetic immune disease characterized by infantile or childhood onset of combined immunodeficiency with recurrent viral, bacterial, and fungal infections, severe autoimmunity mainly manifesting as antibody-mediated destruction of red blood cells, platelets, and neutrophils, and mild to moderate developmental delay. Laboratory findings include decreased circulating T-, B-, and natural killer cells, and hypergammaglobulinemia.","Evans syndrome associated with primary immunodeficiency,TPPII deficiency,TPPII-related immunodeficiency, autoimmunity, and neurodevelopmental delay with impaired glycolysis and lysosomal expansion disease,TRIANGLE disease,Tripeptidyl-peptidase II deficiency"
619216,Orphanet: Young adult onset distal hereditary motor neuropathy,&lt;1 / 1 000 000,Adult,"Young adult-onset distal hereditary motor neuropathy is a rare autosomal recessive distal hereditary motor neuropathy characterized by slowly progressive muscular weakness, hypotonia and atrophy of the lower limbs, more pronounced distally, leading to paralysis, and loss of tendon reflexes. Additional features may include pes cavus and mild dysphonia. The upper limbs are relatively spared.","Autosomal recessive distal spinal muscular atrophy type 5,Young adult-onset dHMN,dSMA5"
619209,Orphanet: Progressive symmetric erythrokeratodermia,Unknown,"Infancy,Neonatal",,
619208,Orphanet: Mutilating palmoplantar keratoderma with periorificial keratotic plaques,&lt;1 / 1 000 000,"Infancy,Neonatal,Childhood",Mutilating palmoplantar keratoderma (PPK) with periorificial keratotic plaques (also known as Olmsted syndrome) is a hereditary palmoplantar keratoderma characterized by the combination of bilateral mutilating transgredient palmoplantar keratoderma and periorificial keratotic plaques.,"Mutilating palmoplantar hyperkeratosis with periorificial keratotic plaques,Olmsted syndrome,Palmoplantar and periorificial keratoderma"
619202,Orphanet: Male infertility with azoospermia or oligozoospermia due to single gene mutation,-,-,"Male infertility with azoospermia or oligospermia due to single gene mutation is a rare, genetic male infertility due to sperm disorder characterized by the absence of a measurable amount of spermatozoa in the ejaculate (azoospermia), or a number of sperm in the ejaculate inferior to 15 million/mL (oligozoospermia), resulting from a mutation in a single gene known to cause azoo- or oligo-spermia. Sperm morphology may be normal.",
619201,Orphanet: Genetic steroid resistant nephrotic syndrome,Unknown,Allages,"A rare, hereditary nephrotic syndrome characterized by proteinuria, hypoalbuminemia, edema, and hyperlipidemia, with an absence of response to an initial trial of corticosteroids (i.e. steroid-resistant nephrotic syndrome; SRNS) and a generally complicated course.","Familial idiopathic steroid-resistant nephrotic syndrome,Genetic SRNS,Hereditary steroid-resistant nephrotic syndrome"
619199,Orphanet: 6 phosphogluconate dehydrogenase deficiency,-,-,"A rare constitutional hemolytic anemia characterized by a low 6-phosphogluconate dehydrogenase activity in the erythrocytes, which clinically manifests with a well-compensated chronic nonspherocytic hemolytic anemia and transient hemolytic periods with jaundice.",
619188,Orphanet: Autosomal dominant non syndromic intellectual disability,-,-,,
619185,Orphanet: Joubert syndrome,1-9 / 100 000,Antenatal,"A rare, autosomal recessive congenital cerebellar ataxia characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones.","CPD IV,Cerebelloparenchymal disorder IV,Classic Joubert syndrome,Joubert syndrome type A,Joubert-Boltshauser syndrome,Pure Joubert syndrome"
619183,Orphanet: Proteasome associated autoinflammatory syndrome,&lt;1 / 1 000 000,"Childhood,Infancy,Neonatal","A rare, autosomal recessive autoinflammatory disorder characterized by early-onset erythematous popular/nodular skin eruptions, recurrent fever, possible joint contractures, lipodystrophy, erythematous inflammatory skin changes, joint and muscle involvement (joint contractures, arthralgia, muscle weakness), and hepatosplenomegaly.","ALDD syndrome,Autoinflammation-lipodystrophy-dermatosis syndrome,PRAAS,Proteasome disability syndrome"
619182,Orphanet: Gastric adenocarcinoma and proximal polyposis of the stomach,&lt;1 / 1 000 000,Adult,"Gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) is a rare hereditary gastric cancer characterized by proximal gastric polyposis and increased risk of early-onset, intestinal-type adenocarcinoma of the gastric body, with no duodenal or colorectal polyposis.","Familial fundic gland polyposis with gastric cancer,GAPPS"
619180,Orphanet: Autosomal dominant primary microcephaly,-,-,"A rare, genetic, non-syndromic, developmental defect during embryogenesis malformation syndrome characterized by a congenital, non-progressive, occipitofrontal head circumference that is 2 or more standard deviations below the mean for age, gender and ethnicity which is associated with normal brain architecture and uncomplicated by other abnormalities. Borderline to moderate intellectual disability, as well as early psychomotor delay, may or may not be associated.",
619180,Orphanet: Autosomal dominant primary microcephaly,-,-,"A rare, genetic, non-syndromic, developmental defect during embryogenesis malformation syndrome characterized by a congenital, non-progressive, occipitofrontal head circumference that is 2 or more standard deviations below the mean for age, gender and ethnicity which is associated with normal brain architecture and uncomplicated by other abnormalities. Borderline to moderate intellectual disability, as well as early psychomotor delay, may or may not be associated.",
619258,Orphanet: Male infertility with teratozoospermia due to single gene mutation,-,-,"Male infertility with teratozoospermia due to single gene mutation is a rare, genetic male infertility due to sperm disorder characterized by the presence of spermatozoa with abnormal morphology, such as macrozoospermia or globozoospermia, in over 85% of sperm, resulting from mutation in a single gene known to cause teratozoospermia. It is a heterogeneous group that includes a wide range of abnormal sperm phenotypes affecting, solely or simultaneously, head, neck, midpiece, and/or tail.",
619176,Orphanet: Female infertility due to oocyte meiotic arrest,Unknown,"Adolescent,Adult","A rare genetic female infertility characterized by oocyte maturation arrest during any of the various stages of meiosis I or II. In some patients, first polar body oocytes may be retrieved, but these either show fertilization failure or early embryonic arrest. Affected women have regular menstrual cycles.",
619183,Orphanet: Proteasome associated autoinflammatory syndrome,&lt;1 / 1 000 000,"Childhood,Infancy,Neonatal","A rare, autosomal recessive autoinflammatory disorder characterized by early-onset erythematous popular/nodular skin eruptions, recurrent fever, possible joint contractures, lipodystrophy, erythematous inflammatory skin changes, joint and muscle involvement (joint contractures, arthralgia, muscle weakness), and hepatosplenomegaly.","ALDD syndrome,Autoinflammation-lipodystrophy-dermatosis syndrome,PRAAS,Proteasome disability syndrome"
619174,Orphanet: Autosomal recessive non syndromic sensorineural deafness type DFNB,Unknown,"Infancy,Neonatal",,
619172,Orphanet: Hermansky Pudlak syndrome,1-9 / 1 000 000,"Infancy,Neonatal","Hermansky-Pudlak syndrome (HSP) is a multi-system disorder characterized by oculocutaneous albinism, bleeding diathesis and, in some cases, neutropenia, pulmonary fibrosis, or granulomatous colitis. HPS comprises eight known disorders (HPS-1 to HPS-8), the majority of which present with the same clinical phenotype to varying degrees of severity.",HPS
619272,Orphanet: Isolated complex I deficiency,Unknown,Allages,"Isolated complex I deficiency is a rare inborn error of metabolism due to mutations in nuclear or mitochondrial genes encoding subunits or assembly factors of the human mitochondrial complex I (NADH: ubiquinone oxidoreductase) and is characterized by a wide range of manifestations including marked and often fatal lactic acidosis, cardiomyopathy, leukoencephalopathy, pure myopathy and hepatopathy with tubulopathy. Among the numerous clinical phenotypes observed are Leigh syndrome, Leber hereditary optic neuropathy and MELAS syndrome (see these terms).","Isolated NADH-CoQ reductase deficiency,Isolated NADH-coenzyme Q reductase deficiency,Isolated NADH-ubiquinone reductase deficiency,Isolated mitochondrial respiratory chain complex I deficiency"
619224,Orphanet: Isolated succinate CoQ reductase deficiency,&lt;1 / 1 000 000,"Neonatal,Infancy","A rare, mitochondrial oxidative phosphorylation disorder characterized by a highly variable phenotype. The severe, multisystemic disease involves brain, heart, muscles, liver, kidneys, and eyes and results in death in infancy. Mildly affected individuals have only isolated cardiac or muscle involvement in the adulthood. Histochemical and biochemical analysis reveals a global reduction of succinate dehydrogenase activity.","Isolated mitochondrial respiratory chain complex II deficiency,Isolated succinate  dehydrogenase deficiency,Isolated succinate-coenzyme Q reductase deficiency,Isolated succinate-ubiquinone reductase deficiency"
618977,"Orphanet: Autosomal dominant optic atrophy, classic form",1-9 / 100 000,"Childhood,Adult,Adolescent","A rare neuro-ophthalmological disease which is one of the most common forms of hereditary optic neuropathy characterized by progressive bilateral visual loss with an onset during the first decade of life, associated with optic disc pallor, visual acuity loss, visual field deficits and color vision defects.","Autosomal dominant optic atrophy, Kjer type,Kjer optic atrophy,Optic atrophy type 1"
618975,Orphanet: Fetal akinesia deformation sequence,&lt;1 / 1 000 000,"Antenatal,Neonatal","The fetal akinesia/hypokinesia sequence (or Pena-Shokeir syndrome type I) is characterized by multiple joint contractures, facial anomalies and pulmonary hypoplasia. Whatever the cause, the common feature of this sequence is decreased foetal activity.","Arthrogryposis multiplex congenita-pulmonary hypoplasia syndrome,FADS,Pena-Shokeir syndrome type 1"
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
618972,"Orphanet: Mitochondrial DNA depletion syndrome, myopathic form",&lt;1 / 1 000 000,"Infancy,Neonatal","Myopathic mitochondrial DNA (mtDNA) depletion syndrome is one of the main forms of mtDNA depletion syndrome (see this term) that displays a broad phenotypic spectrum but that is most often characterized by hypotonia, proximal muscle weakness, facial and bulbar weakness and failure to thrive.","mtDNA depletion syndrome, myopathic form"
619320,Orphanet: Non specific syndromic intellectual disability,Unknown,"Infancy,Childhood","A rare genetic intellectual disability characterized by the association of intellectual disability with variable other anomalies in the absence of a well-characterized syndrome. Associated abnormalities may include facial dysmorphism, neurological signs and symptoms, behavioral problems, and abnormalities of various other organ systems.",Complex neurodevelopmental disorder
618961,Orphanet: Spondylometaphyseal dysplasia corneal dystrophy syndrome,-,-,,
